id,title,date,outlet,language,orientation
Left.43,New Bills Seek to Rein In Oil Companies’ Pollution of Oklahoma Groundwater,"January 28, 2026",ProPublica,English,Left
Left.44,An ousted energy regulator reflects on Georgia’s new power politics,"January 28, 2026",Grist,English,Left
Left.45,Creeping snow drought’: Canadian research shows less snowpack a ,"January 29, 2026",CTV News,English,Left
Left.46,Czechs wind up black coal mining in green energy switch,"January 29, 2026",France24,English,Left
Left.47,This polar bear population is thriving despite some of the most drastic sea ice loss in the Arctic,"January 29, 2026",ABC News,English,Left
Left.48,"Bushfire threatens dozens of homes in Ellenbrook, north-east of Perth","January 29, 2026",ABC Australia,English,Left
Left.49,Lancet Study Warns Plastics Could Cost Humanity 83 Million Years of Healthy Life,"January 27, 2026",Common Dreams,English,Left
Left.50,Official slams major industry with lawsuit over 'cartel'-like scheme to take down rival: 'Capture-and-kill tactics',"January 26, 2026",TCD,English,Left
Left.51,New research reveals a massive swing back to climate-hostility in right-wing newspaper editorials,"January 27, 2026",TheCanary,English,Left
Left.52,Northport moves forward with solar power project,"January 27, 2026",Bangor Daily News,English,Left
Left.53,"Driven by climate change, devastating winter storm kills at least 29 across the US","January 27, 2026",WSWS,English,Left
Left.54,A Winter Storm Fueled by Global Warming Tests U.S. Disaster Response,"January 26, 2026",Inside Climate News,English,Left
Left.55,World Bank carbon program risks further infringing upon rights of Indonesian Indigenous community (commentary),"January 28, 2026",Mongabay,English,Left
Left.56,10K air purifiers delivered to South Bay residents impacted by Tijuana River pollution,"January 26, 2026",NBC San Diego,English,Left
Left.57,Extreme heat in 2050 will affect almost half the planet,"January 26, 2026",ecoticias,Spanish,Left
Left.58,The violent ice storm in the United States originated from a distortion of the polar vortex.,"January 26, 2026",HUFFPOST,French,Left
Left.59,Limestone County judge places restrictions on Belle Mina quarry as case proceeds,"January 27, 2026",ALABAMA REFLECTOR,English,Left
Left.60,"Cleanup will take 'days' after record-breaking Toronto snowstorm, city officials say","January 26, 2026",The Canadian Press,English,Left
Left.61,Climate Change: 55 Weather Disasters costing a Billion Dollars Each hit our Earth the Past Year,"January 27, 2026",Informed Comment,English,Left
Left.62,"Boulet inherits the Economy portfolio, Charette takes over the Environment portfolio","January 26, 2026",La Presse,French,Left
Left.63,Global energy investment hits record high in 2025,"January 27, 2026",Semafor,English,Left
Left.64,Iran’s Biggest Centers of Protest also have Extreme Pollution and Water Shortages,"January 27, 2026",Informed Comment,English,Left
Left.65,"tbi bank concludes a partnership with UTB Shop, the largest online store in Romania for agriculture, farm, home and garden","January 26, 2026",HotNews,Romanian,Left
Left.66,Denmark and Germany finally agree on the largest energy project in Danish history,"January 26, 2026",DR,Danish,Left
Left.67,How a 'dirtbag' billionaire chose to do capitalism differently,"January 26, 2026",AlterNet,English,Left
Left.68,Superintelligence is not the answer to climate change,"January 27, 2026",TheKoreaTimes,English,Left
Left.69,Dangerous particulate matter far above the limit,"January 26, 2026",Dresden,German,Left
Left.70,Moscow records its worst snowfall in two centuries,"January 29, 2026",La Presse,French,Left
Left.71,The accidental climate scientist who uncovered an unexpected force of global warming,"January 29, 2026",CNN,English,Left
Left.72,"Data show oil and gas blocks cover one-fourth of Ecuador, mostly in the Amazon","January 29, 2026",Mongabay,English,Left
Left.73,Guterres Says It’s Time To Switch To Clean Energy Goals,"January 29, 2026",CleanTechnica,English,Left
Left.74,"Developer Calls GW Ranch in Pecos County, Texas, the ‘Largest Power Project’ in U.S.","January 29, 2026",Inside Climate News,English,Left
Left.75,Local farmers impacted by climate change,"January 29, 2026",SARNIA,English,Left
Left.76,Climate news is written in a language most people can’t understand,"January 29, 2026",Grist,English,Left
Left.77,Why the government is trying to make coal cute,"January 29, 2026",Grist,English,Left
Left.78,Fossil Fuels are Doomed — and Trump can’t Save them,"January 29, 2026",Informed Comment,English,Left
Left.79,"As an Oil Rig Topples in the Alaskan Arctic and Ignites a Fire, Exploration There Continues","January 28, 2026",Inside Climate News,English,Left
Left.80,The winter storm exposed the grid’s real weakness: Lots of old poles,"January 28, 2026",Grist,English,Left
Left.81,‘We’re in a horror film’: Landslide leaves Sicily town teetering on a cliff edge,"January 29, 2026",Irish Times,English,Left
Left.82,Weekend winter storm that battered eastern U.S. was supercharged by climate change,"January 29, 2026",Scientific American,English,Left
Left.83,Could another storm hit the East Coast soon? Here are the possibilities.,"January 27, 2026",The Washington Post,English,Left
Left.84,Researchers issue warning after discovering looming threat to coastal communities: 'More pervasive than anticipated',"January 28, 2026",TCD,English,Left
Left.85,‘Time and Water’ Review: A Poetic and Haunting Elegy for a Glacier,"January 27, 2026",Indie Wire,English,Left
Left.86,"After Decades of Deflection, ExxonMobil Moves to Reshape Global Climate Accounting","January 23, 2026",DeSmog,English,Left
Left.87,Cold waves in Spain are getting shorter due to climate change,"January 27, 2026",ecoticias,Spanish,Left
Left.88,California’s iconic Highway 1 is fighting a losing battle against climate change. Can it survive?,"January 27, 2026",Los Angeles Times,English,Left
Left.89,"For the first time in a decade, coal-fired electricity generation in China falls: renewable energy drives a historic shift by 2025","January 26, 2026",ecoticias,Spanish,Left
Left.90,No end in sight to scorching heat as Victorians fight to stay cool,"January 27, 2026",Stuff,English,Left
Left.91,Scientists to drill into Antarctica’s fragile ‘Doomsday Glacier’ that poses threat to world’s oceans,"January 29, 2026",INDEPENDENT,English,Left
Left.92,Researchers issue warning amid devastating crisis impacting food supply: 'It has become one of the biggest challenges',"January 22, 2026",TCD,English,Left
Left.93,How is US President Trump impacting global climate action?,"January 28, 2026",Amnesty ,English,Left
Left.94,How permanent is Trump’s assault on climate action?,"January 22, 2026",Grist,English,Left
Left.95,Take these steps to protect yourself from winter weather dangers,"January 22, 2026",HAARETZ,English,Left
Left.96,Wind & Solar Surpassed Fossil Fuels In EU In 2025,"January 22, 2026",CleanTechnica,English,Left
Left.97,"As Winter Olympics and Paralympics approach, will the planet be affected?","January 21, 2026",GlobalNEWS,English,Left
Left.98,Dangerous Arctic Blast Set to Pummel Eastern US With Bone-Chilling Cold and Crippling Snowstorm,"January 22, 2026",IBTimes,English,Left
Left.99,Sweetening the deal for sustainability — while removing carbon dioxide,"January 21, 2026",Yale News,English,Left
Left.100,Cortina isn't as cold as when it last hosted the Winter Olympics,"January 21, 2026",CBC News,English,Left
Center_1,"India's solar-panel boom: full throttle today, uncertain tomorrow","January 25, 2026",Channel News Asia,English,Center
Center_2,Climate crisis failure of global justice: minister,"January 25, 2026",The Express Tribune,English,Center
Center_3,Seriously wrong': activists condemn fracking decision,"January 24, 2026",PerthNow,English,Center
Center_4,Why do onions and chips keep washing up on England's south coast? Here's the science ,"January 24, 2026",Phys Org,English,Center
Center_5,‘Exceptionally cold’: How a warming Arctic is pushing the US and Eastern Europe into a deep freeze,"January 22, 2026",Euro News,English,Center
Center_6,"General ad campaign for climate action receives more public engagement than tailored approach, study finds","January 24, 2026",Phys Org,English,Center
Center_7,An app that uses drone footage to track plastic litter on beaches is promoting voluntary cleanup in Ireland,"January 24, 2026",Phys Org,English,Center
Center_8,Social media ices out Trump over climate change claims as US braces for record cold,"January 24, 2026",Masslive,English,Center
Center_9,New Mexico Adopts First Clean Fuel Market In Southwest,"January 24, 2026",Los Alamos Daily Post,English,Center
Center_10,Colorado River states scramble for deal ahead of meeting with Trump officials,"January 24, 2026",Las Vegas Review-Journal,English,Center
Center_11,Delhi rain brings much-needed respite from air pollution as winds turn chilly — Check IMD forecast,"January 25, 2026",Mint,English,Center
Center_12,The perils of climate change': Call for better disaster response strategies in the wake of Mpumalanga and Limpopo floods,"January 25, 2026",IOL,English,Center
Center_13,Grange-raised conservationist named 30 Under 30 finalist,"January 24, 2026",NWE Mail,English,Center
Center_14,"Climate change worsened rains and floods which killed dozens in southern Africa, study shows","January 29, 2026",NewsRadio Halifax,English,Center
Center_15,New documentary showcases King Charles' work as nature campaigner,"January 28, 2026",Reuters,English,Center
Center_16,Artificial forest and art life brought doomsday four seconds closer,"January 29, 2026",Novaator,Estonian,Center
Center_17,EPA plan would begin rolling back ‘good neighbor’ rule on downwind pollution from smokestacks,"January 28, 2026",The Sand Diego Union-Tribune,English,Center
Center_18,"100,000 Pounds of Invasive Fish Pulled from Kansas River","January 29, 2026",News Week,English,Center
Center_19,US Capital Washington Under Fire After Massive Sewage Leak,"January 28, 2026",Barron's,English,Center
Center_20,Which waters deserve protection? Federal proposal and Colorado disagree,"January 28, 2026",Summit Daily,English,Center
Center_21,"These producers who are switching to almonds: ""There is a growing demand for healthy food.""","January 28, 2026",Le Progres,French,Center
Center_22,Households could get paid under plan to price pollution,"January 29, 2026",7News,English,Center
Center_23,Microplastics in one-third of surveyed Pacific Island fish,"January 28, 2026",CTV News,English,Center
Center_24,At least five killed after Storm Kristin hits Portugal,"January 29, 2026",BBC,English,Center
Center_25,Which countries are paying the highest price for particulate air pollution?,"January 28, 2026",Phys Org,English,Center
Center_26,Researchers discover factor that causes glaciers in Greenland to melt faster,"January 29, 2026",HNA,German,Center
Center_27,Diesel Set to Rise as Data Centers Can Run Backup Generators,"January 28, 2026",Transport Topics,English,Center
Center_28,Enniscorthy locals assess 'completely devastating' flood damage,"January 28, 2026",RTE,English,Center
Center_29,Court faults Netherlands over Caribbean island climate risks,"January 28, 2026",DW,English,Center
Center_30,Nigeria: NUPRC Courts Global Investors Ahead of 2025 Oil Licensing Round,"January 28, 2026",All Africa,English,Center
Center_31,Warming may increase mangrove methane emissions—but these forests remain powerful carbon sinks,"January 28, 2026",Phys Org,English,Center
Center_32,"Fast-growing trees are taking over the forests of the future and putting biodiversity, climate resilience under pressure","January 28, 2026",Phys Org,English,Center
Center_33,South Africa's Floods Turned Deadly Because Limpopo Wasn't Prepared - How to Prevent a Repeat,"January 28, 2026",All Africa,English,Center
Center_34,"How the Spanish countryside has changed in a decade: more olive trees, lettuce and strawberries, less beetroot, tobacco, cotton and sunflower","January 28, 2026",EFE,Spanish,Center
Center_35,Air fryers emit fewer VOCs and ultra-fine particles than other forms of frying—if you clean them,"January 28, 2026",Medical Xpress,English,Center
Center_36,Care-Report: Little Attention for Crises in Africa,"January 28, 2026",Tagesschau,German,Center
Center_37,China Added 543 Gigawatts in New Power Capacity in 2025,"January 28, 2026",Oli Price,English,Center
Center_38,US withdrawal from Paris Agreement takes effect,"January 27, 2026",The Hill,English,Center
Center_39,"Climate change could cause more than 500,000 malaria deaths in Africa by 2050","January 28, 2026",Medical Xpress,English,Center
Center_40,Ocean Equity Index offers first global tool to measure ocean fairness,"January 28, 2026",Phys Org,English,Center
Center_41,Health advocates sound alarm as EPA works to loosen pollution standard,"January 28, 2026",Phys Org,English,Center
Center_42,"US judge allows Massachusetts offshore wind project to resume construction, blocking Trump pause","January 28, 2026",Reuters,English,Center
Center_43,"Renewable energy deals dry up in Alberta as Nova Scotia takes the lead, report says","January 29, 2026",The Globe And Mail,English,Center
Center_44,"Record-breaking Australia heatwave fuels bushfires, cuts power to thousands","January 29, 2026",Reuters,English,Center
Center_45,"Microsoft plans more server farms, despite water worries","January 28, 2026",The Register,English,Center
Center_46,"US national parks told to remove signs on mistreatment of Native Americans, climate, Wash Post reports","January 27, 2026",Reuters,English,Center
Center_47,Trump administration weighs mining off Alaska’s coast,"January 27, 2026",The Hill,English,Center
Center_48,"It’s one storm after another for much of the US, but the next one’s path is uncertain","January 28, 2026",The Sand Diego Union-Tribune,English,Center
Center_49,Protesters at State House want big oil to pay for Maine climate damages,"January 27, 2026",Portland Press Herald,English,Center
Center_50,"Air pollution crosses borders, and so must the policies aimed at tackling it","January 27, 2026",The Conversation,English,Center
Center_51,Showing real climate wins and friendships helps people join collective climate efforts,"January 27, 2026",Phys Org,English,Center
Center_52,Biomass could play a key role in Canada’s transition to a carbon-neutral economy,"January 27, 2026",The Conversation,English,Center
Center_53,"Winter Storm Update: Power Outages, Flight Cancellations and Rising Death Toll","January 26, 2026",International Business Times,English,Center
Center_54,Lawmakers fault firm over alleged unauthorised logging in C’River forest,"January 29, 2026",Daily Post Nigeria,English,Center
Center_55,No new AA insurance policies for people living in West Coast town,"January 29, 2026",Star News,English,Center
Center_56,The dirt on dirt: Flood recovery starts from the ground up for Washington farmers,"January 28, 2026",OPB,English,Center
Center_57,California's iconic Highway 1 is fighting a losing battle against climate change. Can it survive?,"January 28, 2026",The Lawton Constitution,English,Center
Center_58,Malawi: Government Challenges COP30 Stakeholders to Support Climate Action,"January 27, 2026",All Africa,English,Center
Center_59,Our children are next' fear Kenyans as drought wipes out livestock,"January 27, 2026",France24,English,Center
Center_60,"Kenya: Govt Plans Six Mega Dams, Targets 2 Million Acres in Irrigation Push","January 27, 2026",All Africa,English,Center
Center_61,"A winter storm, a viral claim and what the science actually says","January 26, 2026",Wral News,English,Center
Center_62,China and India cut power emissions as renewables expand,"January 27, 2026",The Express Tribune,English,Center
Center_63,Australia Swelters in a Record Heat Wave as Temperatures Near 50 C,"January 27, 2026",VN News,English,Center
Center_64,"In polar regions, microbes are influencing climate change as frozen ecosystems thaw","January 26, 2026",Phys Org,English,Center
Center_65,Climate change making storms 'more intense',"January 27, 2026",RZN,English,Center
Center_66,Study: An era of extreme weather has begun in the Arctic,"January 27, 2026",Novaator,Estonian,Center
Center_67,"World not ready for rise in extreme heat, scientists say","January 26, 2026",Phys Org,English,Center
Center_68,Judge orders controversial Alabama quarry to stop operations: ‘Grateful for this immediate relief’,"January 26, 2026",AL ,English,Center
Center_69,"Sea levels are rising—but in Greenland, they will fall","January 26, 2026",Phys Org,English,Center
Center_70,VC firm 2150 raises €210M fund to solve cities’ climate challenges,"January 26, 2026",Tech Church,English,Center
Center_71,Maine needs a climate superfund rooted in justice | Opinion,"January 26, 2026",Portland Press Herald,English,Center
Center_72,"The Arctic Has Entered a New Era of 'Extreme Weather', Scientists Warn","January 27, 2026",Science Alert,English,Center
Center_73,"Forest fires reignite in Argentine Patagonia; more than 30,000 hectares affected","January 26, 2026",Reading Eagle,Spanish,Center
Center_74,Marin Voice: Sausalito mayor assesses next steps after tidal flooding,"January 5, 2026",Marin Independent Journal,English,Center
Center_75,Should we be rethinking how we rebuild after storms?,"January 5, 2026",RNZ,English,Center
Center_76,Forty years of forest data reveal a changing Amazon,"January 25, 2026",Science Daily,English,Center
Center_77,"Nigeria: Makoko Demolition - the Environmental, Human and Economic Costs of Urbanisation","January 26, 2026",All Africa,English,Center
Center_78,Nigerian Farmers Talk About How Climate Change Is Affecting Staple Food Crops - and What Can Help,"January 25, 2026",All Africa,English,Center
Center_79,"Southern Africa: Bats, Bushbabies and Aardvark Edge Closer to Extinction in Southern Africa","January 21, 2026",All Africa,English,Center
Center_80,Fossil shorebirds reveal Australia's ancient wetlands lost to climate change,"January 21, 2026",Phys Org,English,Center
Center_81,Ellesmere Port’s Theatre Porto to host climate change show,"January 21, 2026",The Standard,English,Center
Center_82,How climate change is impacting the Winter Olympics,"January 21, 2026",NBC Chicago,English,Center
Center_83,The way Earth's surface moves has a bigger impact on shifting the climate than we knew,"January 20, 2026",Phys Org,English,Center
Center_84,"‘Catastrophic:’ Record-breaking heat bringing extreme conditions, catastrophic fire danger moves east","January 22, 2026",PerthNow,English,Center
Center_85,Climate: around thirty companies are responsible for half of greenhouse gas emissions,"January 21, 2026",RFI,French,Center
Center_86,Fighting climate change in the Sahel is worsening conflicts - new research shows how,"January 20, 2026",The Conversation,English,Center
Center_87,"South Africa: Committee On Forestry, Fisheries and Environment Sends Condolences to Families Affected By Natural Disasters","January 19, 2026",All Africa,English,Center
Center_88,Trump Tracker: How the US is rolling back back climate progress in 2026,"January 11, 2026",Euro News,English,Center
Center_89,Africa: From Lunch Tray to Lifelong Health - WHO Sets Global Standards for School Meals,"January 27, 2026",All Africa,English,Center
Center_90,"Australian heatwave fans bushfires, towns evacuated, Melbourne endures hottest day in 17 years","January 27, 2026",Reuters,English,Center
Center_91,"WuXi AppTec Receives Double ""A"" Rating from CDP for Climate Change and Water Security Leadership","January 18, 2026",PR News,English,Center
Center_92,Ancient ice and modern pollution combine to spread antibiotic resistance as glaciers melt,"January 18, 2026",News Medical & Life Sicences,English,Center
Center_93,Ocean damage nearly doubles the cost of climate change,"January 18, 2026",Ars Technica,English,Center
Center_94,"Major river deltas are sinking faster than sea-level rise, study shows","January 14, 2026",Phys Org,English,Center
Center_95,"‘Tough time’: Heartbreak as 20,000 livestock, wildlife killed in Victorian bushfires","January 18, 2026",PerthNow,English,Center
Center_96,Cosmic clock' reveals Australian landscapes' history and potential future,"January 17, 2026",Phys Org,English,Center
Center_97,Bay Area researchers hope to unlock the secrets of coastal fog — and understand how it’s affected by climate change and pollution,"January 17, 2026",Monterey Herald,English,Center
Center_98,Scientists map key oceanic unknowns in climate interventions,"January 17, 2026",Phys Org,English,Center
Center_99,"UN biodiversity treaty enters into force, aims to protect 30% of oceans by 2030","January 17, 2026",Reuters,English,Center
Center_100,Nigerian government bans sand mining on River Niger,"January 16, 2026",Daily Post Nigeria,English,Center
Right.1,NEA ‘closely’ monitoring haze situation after noticeable burning smell,"January 26, 2026",Daily Express U.S.,English,Right
Right.2,What the asbestos task force now needs to find out,"January 26, 2026",Kronen Zeitung,German,Right
Right.3,The storm tears off several roofs of warehouses in an industrial park in Ibiza and buries two cars,"January 26, 2026",El Debate Islas Baleares,Spanish,Right
Right.4,"Strong winds tear off the roof of an industrial building in Ibiza, burying two cars.","January 26, 2026",Ok Baleares,Spanish,Right
Right.5,Harmful smog levels over most of Thailand,"January 26, 2026",Bangkok Post,English,Right
Right.6,Smog warning in northern half of the country,"January 25, 2025",NOS,Dutch,Right
Right.7,Smog cloud from the east Thick air over Germany,"January 25, 2026",Bild,German,Right
Right.8,Ministry of infrastructure announces over $23 million for new water tower,"January 26, 2026",The Daily Press,English,Right
Right.9,"Nearly Half Of World's Population Could Suffer Extreme Heat By 2050, Oxford Study Warns","January 26, 2026",NDTV,English,Right
Right.10,"In this country, Ikea will offer an electricity plan: what are the conditions?","January 25, 2026",Capital,English,Right
Right.11,Thailand releases endangered leopard sharks in conservation push,"January 26, 2026",The Straits Times,English,Right
Right.12,Just How Cold Is It Supposed To Be This Weekend?,"January 24, 2026",OutKick,English,Right
Right.13,City air pollution set to spike,"January 26, 2026",Bangkok Post,English,Right
Right.14,"Winter Storm Update: Hundreds Of Thousands Without Power, Most Flights Cancelled On A Single Day Since The Pandemic","January 25, 2026",100% FED UP!,English,Right
Right.15,"US Storm Leaves Over 1 Million Without Power, Nearly 11,000 Flights Canceled","January 25, 2026",The Thinking Conservative,English,Right
Right.16,"Winter storm grips much of US in snow, ice, Arctic cold","January 25, 2026",The Star Kuala Lumpur,English,Right
Right.17,"Snow, Sleet, Ice and Power Down as Monster Winter Storm Smashes 180M+ Americans","January 25, 2026",Breitbart,English,Right
Right.18,SKIING IN THE CITY New York in a winter storm: Emergency and snow joy,"January 26, 2026",Kronen Zeitung,German,Right
Right.19,Trump cuts funding for ICE body cameras and is accused of limiting its oversight,"January 26, 2026",Protothema,Greek,Right
Right.20,"12,000 Flights Canceled, NatGas Spikes Again As Winter Storm Fern Paralyzes Eastern US","January 26, 2026",ZeroHedge,English,Right
Right.21,"Megastorm Knocks Out Power to 800,000+ and More Than 11,000 Flights","January 26, 2026",CBN,English,Right
Right.22,Ice storm knocks out power to a million customers across South as dangerous cold sets in,"January 26, 2026",Daily Express U.S.,English,Right
Right.23,Massive Winter Storm Knocks Out Power to Nearly a Million,"January 26, 2026",American Faith,English,Right
Right.24,"Winter storm cripples travel, leaves more than 1 million without power","January 25, 2026",WORLD,English,Right
Right.25,"Crippling winter storm slams U.S., bringing deadly cold and leaving over 1M without power","January 26, 2026",77 WABC,English,Right
Right.26,Severe Winter Storm Leaves Millions Facing Dangerous Conditions Across the US,"January 26, 2026",KBOI,English,Right
Right.27,"Winter storm grips much of US in snow, ice, Arctic cold","January 26, 2026",The Economic Times,English,Right
Right.28,"Freezing Rain, Travel Chaos, Blackouts: The US Winter Storm In Photos","January 26, 2026",NDTV,English,Right
Right.29,"Massive winter storm across the U.S. brings ice, frigid temperatures and widespread power outages","January 25, 2026",Washington Times,English,Right
Right.30,"US storm leaves 1 million without power, forces 10,000 flight cancellations","January 25, 2026",The Straits Times,English,Right
Right.31,Thousands of flights cancelled as snow storm blankets half of US,"January 25, 2026",The Telegraph,English,Right
Right.32,"US storm leaves more than 700,000 without power, disrupts thousands of flights","January 25, 2026",The News,English,Right
Right.33,Australian Open worry as 'severe heatwave' sparks massive fire and fills air with smoke,"January 24, 2026",Express,English,Right
Right.34,Matosinhos beach at risk of no longer being a bathing area.,"January 25, 2026",Observador,Portuguese,Right
Right.35,"Air pollution taking a toll on public health, Rahul Gandhi warns","January 25, 2026",The Economic Times,English,Right
Right.36,Rahul Gandhi Asks Citizens To Share Stories On Air Pollution Through 'Awaaz Bharat Ki' Platform,"January 25, 2026",NDTV,English,Right
Right.37,Rahul Gandhi Calls for Action: Air Pollution Costs Lives and Economy,"January 25, 2026",Devdiscourse,English,Right
Right.38,Why US Is Walking Away From Global Climate Bodies Now,"January 25, 2026",NDTV,English,Right
Right.39,"Donald Trump’s COP out * WorldNetDaily * by Stephen Eule, Real Clear Wire","January 24, 2026",OpsLens,English,Right
Right.40,Donald Trump's COP out,"January 24, 2026",WorldNetDaily,English,Right
Right.41,The heat absorbed by the oceans in 2025 is equivalent to the energy of 12 Hiroshima bombs,"January 24, 2026",La Nacion,Spanish,Right
Right.42,"The pros and cons of filling sparsely populated Spain with solar panels, as proposed by Elon Musk","January 23, 2026",El Debate,Spanish,Right
Right.43,"""America's best idea"" How US national parks are suffering under Trump","January 23, 2026",NTV,German,Right
Right.44,"Cold, sewage, siege: Gaza family loses baby after waiting 17 years","January 24, 2026",Anadolu Ajansi,Turkish,Right
Right.45,"World not ready for rise in extreme heat, scientists say","January 26, 2026",The Straits Times,English,Right
Right.46,Meralco solar unit announces Leviste replacement in Board,"January 23, 2026",ABS CBN,English,Right
Right.47,An activist spends 72 hours straight hugging a tree and shatters the Guinness World Record.,"January 26, 2026",La Razon,Spanish,Right
Right.48,"Light rain lashes Delhi-NCR, IMD predicts more downpour: Will cold wave return to national capital?","January 23, 2026",India TV,English,Right
Right.49,Whales are now ‘sharing’ food amid shortages due to climate change,"January 24, 2026",Irish Independent,English,Right
Right.50,How Trump's plan to take over Greenland is shaking up life on the Arctic island,"January 24, 2026",La Tercera,Spanish,Right
Right.51,"Pollution hurts India more than tariffs, top economist says","January 24, 2026",The Straits Times,English,Right
Right.52,Japan punk rock lawyer leads climate justice fight against central government,"January 24, 2026",The Straits Times,English,Right
Right.53,"India is dying of dirty air, and no one is held to account: Lancet editor","January 24, 2026",India Today,English,Right
Right.54,Odisha to add irrigation facilities for 15 lakh hectares in 5 years: CM,"January 22, 2026",The Print,English,Right
Right.55,Province invests $10.8M in critical water infrastructure for Stirling-Rawdon,"January 23, 2026",The Intelligencer,English,Right
Right.56,Trump EPA Rolls Back Barbaric Practice Once Beloved By Fauci And Co.,"January 22, 2026",The Daily Caller,English,Right
